title, summary, rating 
내일은 낯선 행성을 걷는다,밤 9시의 산책,9.89
까만 동화 : 인형의 집,잔혹동화,9.91
아빠는 N살,아빠 4컷 그림일기,9.91
유산은 처음이라,또 유산입니다,9.68
원룸202호,추리 스릴러,8.41
참을 수 없군,너,화장실로 올래?,8.83
악마인간,왕따 히어로 액션,9.24
엔피씨(NPC),엔피씨가된 용사,9.34
로로의 일본생활 다이어리,일본 먹부림 일기,9.79
전지적덕후시점,나의 덕질 라이프,9.68
중딩툰,중딩이 그렸던 웹툰,9.49
가족입니다.,가족 이야기,8.85
기후위기인간,지구와나의 연결고리,9.88
물고기로 살아남기!,신개념 게임 판타지,9.69
지새는 밤,잔잔 엉뚱,9.74
촉법,촉법 능력자?!,7.85
백발의 유성,액션/로맨스판타지,8.87
소라비의 잡화점,#로판  #남장여자,9.81
마피아게임에 어서오세요,살인 마피아게임,9.60
홈 스윗 홈,네식구 사는 이야기,9.85
소환진이 좀 이상해 보이는 건 기분 탓이겠지,판타지!,9.92
오늘의 난,오늘의 난, 난그림,9.53
남편봇과 사는법,로봇같은남편과 살기,9.91
파운드캣,식빵을 닮은 고양이,9.89
빅타이거,가장 큰 호랑이,9.44
그리마 콘텐츠,돈벌레 인간 방송,8.52
마루하루,11살 강아지 마루,9.81
과학고 생존일지,과학고에 간 문과생,9.82
꿀꾸리? 꿈꾸리!,중학생 꾸리일기-,8.75
일상견문록,여러나라 일상이야기,9.87
1억 받고 고백하기,이걸 안 해??,9.76
나는 오늘, 퇴사를 하였다.,퇴사, 이후 이야기,9.69
흑묘,검은 고양이 사냥꾼,9.71
30일의 시간여행,완결★★★★★,9.53
고고고,집사가 되어라!!!,9.88
베텔게우스,별과 시간과 사람,9.59
백일고 상상클럽,우리들의 상상이야기,9.87
카르엘,인어와 칼과 흉터,8.16
미필은 노하이,대한군필 만세!!,9.88
누나미워!,누나와 동생의 일상,9.90
후손들의 이야기,SF,9.77
제목이 7080 만화,7080 이야기,9.89
자작 보드게임 동아리,자작 보드게임 만화,9.76
